setID,id,analysisLoc
HC1,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
HC2,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
A2-1,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
A2-2,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
A6-1,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
A6-2,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C1-1,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C1-2,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C12-1,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C12-2,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
F7-1,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
F7-2,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
F10-1,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
F10-2,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
H2-1,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
H2-2,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
A5B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
A6A,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
A6B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
B7A,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
B7B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
B8A,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
B8B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C7A,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C7B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C8A,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
C8B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
D6B,tumour,/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/
