samplename,description,batch,phenotype
A2-1,A2-1,A2-1,tumor
HC_merged,A2-1,A2-1,normal
,,,
A2-2,A2-2,A2-2,tumor
HC_merged,A2-2,A2-2,normal
,,,
A6-1,A6-1,A6-1,tumor
HC_merged,A6-1,A6-1,normal
,,,
A6-2,A6-2,A6-2,tumor
HC_merged,A6-2,A6-2,normal
,,,
C1-1,C1-1,C1-1,tumor
HC_merged,C1-1,C1-1,normal
,,,
C1-2,C1-2,C1-2,tumor
HC_merged,C1-2,C1-2,normal
,,,
C12-1,C12-1,C12-1,tumor
HC_merged,C12-1,C12-1,normal
,,,
C12-2,C12-2,C12-2,tumor
HC_merged,C12-2,C12-2,normal
,,,
F7-1,F7-1,F7-1,tumor
HC_merged,F7-1,F7-1,normal
,,,
F7-2,F7-2,F7-2,tumor
HC_merged,F7-2,F7-2,normal
,,,
F10-1,F10-1,F10-1,tumor
HC_merged,F10-1,F10-1,normal
,,,
F10-2,F10-2,F10-2,tumor
HC_merged,F10-2,F10-2,normal
,,,
H2-1,H2-1,H2-1,tumor
HC_merged,H2-1,H2-1,normal
,,,
H2-2,H2-2,H2-2,tumor
HC_merged,H2-2,H2-2,normal
,,,
A5A,A5A,A5A,tumor
HC_merged,A5A,A5A,normal
,,,
A5B,A5B,A5B,tumor
HC_merged,A5B,A5B,normal
,,,
A6A,A6A,A6A,tumor
HC_merged,A6A,A6A,normal
,,,
A6B,A6B,A6B,tumor
HC_merged,A6B,A6B,normal
,,,
B7A,B7A,B7A,tumor
HC_merged,B7A,B7A,normal
,,,
B7B,B7B,B7B,tumor
HC_merged,B7B,B7B,normal
,,,
B8A,B8A,B8A,tumor
HC_merged,B8A,B8A,normal
,,,
B8B,B8B,B8B,tumor
HC_merged,B8B,B8B,normal
,,,
C7A,C7A,C7A,tumor
HC_merged,C7A,C7A,normal
,,,
C7B,C7B,C7B,tumor
HC_merged,C7B,C7B,normal
,,,
C8A,C8A,C8A,tumor
HC_merged,C8A,C8A,normal
,,,
C8B,C8B,C8B,tumor
HC_merged,C8B,C8B,normal
,,,
D6B,D6B,D6B,tumor
HC_merged,D6B,D6B,normal
