samplename,description,phenotype,batch
HC_merged,1,normal,A2-1;A2-2;A6-1;A6-2;C1-1;C1-2;C12-1;C12-2;F7-1;F7-2;F10-1;F10-2;H2-1;H2-2;A5A;A5B;A6A;A6B;B7A;B7B;B8A;B8B;C7A;C7B;C8A;C8B;D6B
A2-1,2,tumor,A2-1
A2-2,3,tumor,A2-2
A6-1,4,tumor,A6-1
A6-2,5,tumor,A6-2
C1-1,6,tumor,C1-1
C1-2,7,tumor,C1-2
C12-1,8,tumor,C12-1
C12-2,9,tumor,C12-2
F7-1,10,tumor,F7-1
F7-2,11,tumor,F7-2
F10-1,12,tumor,F10-1
F10-2,13,tumor,F10-2
H2-1,14,tumor,H2-1
H2-2,15,tumor,H2-2
A5A,16,tumor,A5A
A5B,17,tumor,A5B
A6A,18,tumor,A6A
A6B,19,tumor,A6B
B7A,20,tumor,B7A
B7B,21,tumor,B7B
B8A,22,tumor,B8A
B8B,23,tumor,B8B
C7A,24,tumor,C7A
C7B,25,tumor,C7B
C8A,26,tumor,C8A
C8B,27,tumor,C8B
D6B,28,tumor,D6B
