foldername,Tumourname,Normalname,ismale
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,HC1,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,HC2,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,A2-1,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,A2-2,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,A6-1,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,A6-2,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,C1-1,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,C1-2,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,C12-1,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,C12-2,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,F7-1,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,F7-2,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,F10-1,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,F10-2,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,H2-1,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,H2-2,HCEC-MC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,A5A,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,A5B,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,A6A,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,A6B,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,B7A,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,B7B,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,B8A,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,B8B,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,C7A,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,C7B,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,C8A,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,C8B,MLH1-A6-PC,M
/SAN/colcc/MMRd_HCEC_genomes/bcbio_wgs/final/bam_files/,D6B,HCEC-MC,M
